Blattner	index	W3110_control	W3110_cumate	Step_06_control	Step_06_cumate	Step_07_control	Step_07_cumate	Step_11_control	Step_11_cumate	Step_12_lowOD_control	Step_12_lowOD_cumate	Step_15_control	Step_15_cumate	Step_16_control	Step_16_cumate	MGF-01_control	MGF-01_cumate	MGF-02_control	MGF-02_cumate
b0345	W3110_lambdaRed.CDS.342	0.005637111910348901	0.004940006863609146	0.012056249517158129	0.002460627865874506	0.006151398142100677	0.0005466745481474373	0.004340441779254315	0.001173983886771412	0.011109191643319897	0.004940156543739717	0.03957314162937093	0.0029970466891734125	0.009367537099776842	0.02341069323370705	0.011962636269528953	0.018334231149782804	0.020772879233499426	0.009653050267047223
b3866	W3110_lambdaRed.CDS.3421	0.0024671619492775258	0.00282433024622631	0.003317935373480465	0.0020950630425701283	0.0027535314013955297	0.0018022970431545366	0.0023569657005646956	0.0015508379498498624	0.003183324120079704	0.003616345440671076	0.005936887710280329	0.004093579627080698	0.0036766642394206422	0.004808876916757267	0.004451513346297858	0.005213109365107937	0.004059254461592366	0.003827490995515366
b3865	W3110_lambdaRed.CDS.3422	0.030859063648107376	0.02436793272795203	0.0309304370214729	0.020967499746283817	0.03173860316458671	0.02206563779365865	0.031428398967587264	0.022801589359539076	0.027806775933025604	0.020665513258335422	0.029825669249983085	0.020053777530060924	0.028901927811019412	0.02431392068760671	0.03476186479892169	0.02387308221007335	0.028479818995505574	0.020485020584050006
	W3110_lambdaRed.CDS.3425;W3110_lambdaRed.CDS.3484	0.04702386793594918	0.04242159656876135	0.052102322712287756	0.037405078571229926	0.05306935381663835	0.03866144189980606	0.04506431257600233	0.04443358904291663	0.043707235171635966	0.03275734765493039	0.05367253661210205	0.04609329058997991	0.0534951664526268	0.050422573173867	0.06076036120110967	0.049185385502878376	0.05348695406393821	0.046478322050783206
b3860	W3110_lambdaRed.CDS.3429	0.002546801031178043	0.001701111545717029	0.0007989302444497914	0.0008948640369021476	0.0009418130468587578	0.000871460508381857	0.0020326886278890627	0.005158073447485103	0.00035838445147927953	0.0016485929594268597	0.001692936705295932	0.0010168589128303886	0.0005611958888770296	0.0011657323722799927	0.00396172417956779	0.00121289645652643	0.0005841822597585502	0.0015142731506193122
b3859	W3110_lambdaRed.CDS.3430	0.0013847544453607487	0.0012611194543771544	0.0007996738315799129	0.0011069739138646723	0.001685260833712915	0.0012256527617214913	0.0015797307254160795	0.0018559169205495715	0.0014756169363369584	0.0012414149212248255	0.0014571683173248409	0.0012669212621061654	0.0018626452824473689	0.0016620439218782773	0.001539271356963198	0.0011732947411961661	0.0008995668592052828	0.0017879993987806942
b3858	W3110_lambdaRed.CDS.3431	0.005862500642283173	0.01355909165329857	0.008752141077273174	0.009334728796666905	0.006856362240934507	0.006639488059057262	0.006399972990224811	0.010408297659149893	0.004549917214093261	0.008606591050763534	0.01086246703833961	0.005232588654581093	0.005149526409361424	0.012583681175264564	0.004502715353772713	0.010471002606259936	0.004741185102958147	0.009458892142119589
b3857	W3110_lambdaRed.CDS.3432	0.0	0.0008487367126945505	6.070172279956592e-05	0.002102189520407334	0.0002583182574268977	0.0003143297492106749	0.0	0.001207820422111486	0.0	8.514119396579754e-05	5.9085103228786306e-05	0.00020821717032571928	0.0007809537063967357	0.0	0.0	0.0006804308868353805	0.0	0.0010458526677693623
b3856	W3110_lambdaRed.CDS.3433	8.010111442291256e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3427068017945285e-05	1.970782535689219e-05	3.0632951067082504e-05	2.4788326794013566e-05	0.0	0.0	2.045804553613255e-05	0.0
b3850	W3110_lambdaRed.CDS.3436	0.004710652848249755	0.006285546201466482	0.004010390921726353	0.0071866010911346215	0.0031112116795148914	0.006914863733841874	0.001958202520959629	0.0019401056405743738	0.00440589168344211	0.00537627546621956	0.0012805414699119876	0.0024980571109360894	0.002475255571746418	0.002360222884409432	0.004174912134344361	0.004897393496536811	0.004092690482961982	0.00660440755249202
