$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b4493	4	1.42959234843	4.59165577905e-07	53.4992062649
b1418	4	1.42959234843	4.59165577905e-07	53.499206724
b4597	4	1.42959234843	4.59165577905e-07	53.4992071832
PM0-9545	4	1.42959234843	4.59165577905e-07	53.4992076423
b1419	4	1.42959234843	4.59165577905e-07	53.4992081015
b4428	4	1.42959234843	4.59165577905e-07	53.4992085607
b1420	4	1.42959234843	4.59165577905e-07	53.4992090198
PM0-46364	4	1.42959234843	4.59165577905e-07	53.499209479
b4429	4	1.42959234843	4.59165577905e-07	53.4992099382
PM0-10039	4	1.42959234843	4.59165577905e-07	53.4992103973
b1421	4	1.42959234843	9.91277230778e-06	53.4992203101
b1422	4	1.42959234843	4.59165577905e-07	53.4992207693
PM0-36238	4	1.42959234843	4.59165577905e-07	53.4992212284
b1423	4	1.42959234843	4.59165577905e-07	53.4992216876
b1424	4	1.42959234843	0.00797023911296	53.5071919267
b1426	4	1.42959234843	4.59165577905e-07	53.5071923859
PM00370	4	1.42959234843	4.59165577905e-07	53.5071928451
b1427	4	1.42959234843	0.00255418540983	53.5097470305
b1428	4	1.42959234843	4.59165577905e-07	53.5097474896
PM-8830	4	1.42959234843	4.59165577905e-07	53.5097479488
b1429	4	1.42959234843	4.59165577905e-07	53.509748408
b1430	4	1.42959234843	0.00806454384363	53.5178129518
b1431	4	1.42959234843	0.0595315171734	53.577344469
b4578	4	1.42959234843	4.59165577905e-07	53.5773449281
b1432	4	1.42959234843	4.59165577905e-07	53.5773453873
b1433	4	1.42959234843	4.59165577905e-07	53.5773458465
PM0-46335	4	1.42959234843	4.59165577905e-07	53.5773463056
b1434	4	1.42959234843	4.59165577905e-07	53.5773467648
b1435	4	1.42959234843	4.59165577905e-07	53.577347224
b1436	4	1.42959234843	4.59165577905e-07	53.5773476831
PM0-10389	4	1.42959234843	4.59165577905e-07	53.5773481423
b4532	4	1.42959234843	4.59165577905e-07	53.5773486015
b1438	4	1.42959234843	4.59165577905e-07	53.5773490606
PM0-10040	4	1.42959234843	4.59165577905e-07	53.5773495198
b1439	4	1.42959234843	4.59165577905e-07	53.577349979
PM0-46279	4	1.42959234843	4.59165577905e-07	53.5773504381
b1440	4	1.42959234843	0.0059842983772	53.5833347365
b1441	4	1.42959234843	4.59165577905e-07	53.5833351957
b1442	4	1.42959234843	4.59165577905e-07	53.5833356548
b1443	4	1.42959234843	4.59165577905e-07	53.583336114
b1444	4	1.42959234843	4.59165577905e-07	53.5833365732
b4598	4	1.42959234843	4.59165577905e-07	53.5833370323
b1445	4	1.42959234843	4.59165577905e-07	53.5833374915
b1446	4	1.42959234843	4.59165577905e-07	53.5833379507
b1447	4	1.42959234843	4.59165577905e-07	53.5833384098
b1448	4	1.42959234843	4.59165577905e-07	53.583338869
b1449	4	1.42959234843	4.59165577905e-07	53.5833393282
b1450	4	1.42959234843	4.59165577905e-07	53.5833397873
b1451	4	1.42959234843	0.000753828300496	53.5840936156
PM0-10041	4	1.42959234843	4.59165577905e-07	53.5840940748
b1452	4	1.42959234843	0.22198624115	53.8060803159
b1453	4	1.42959234843	4.59165577905e-07	53.8060807751
PM0-8528	4	1.42959234843	4.59165577905e-07	53.8060812343
PM0-10042	4	1.42959234843	4.59165577905e-07	53.8060816934
b1454	4	1.42959234843	4.59165577905e-07	53.8060821526
b1455	4	1.42959234843	4.59165577905e-07	53.8060826118
b1456	4	1.42959234843	4.59165577905e-07	53.8060830709
b1457	4	1.42959234843	4.59165577905e-07	53.8060835301
b1459	4	1.42959234843	4.59165577905e-07	53.8060839893
b1460	4	1.42959234843	4.59165577905e-07	53.8060844484
